Bus,  3-Phase,  1-Phase,  L-L
BARRA100    ,     669810,     309623,     579999
BUS132      ,       7216,       7098,       6249
INICIO_AGF  ,       7215,       7097,       6248
CD_34E0508  ,       6511,       5646,       5638
CD_34E0508_2,     213628,     205434,     172368
CD_91E5092  ,       3613,       1859,       3129
CD_91E5092_2,     117573,     124071,      97599
CD_91E5688  ,       3954,       2044,       3424
CD_91E5688_2,     150841,     161080,     124012
CD_80E1234  ,       3628,       1951,       3142
CD_80E1234_2,     116466,     123132,      96691
CD_34E0585  ,       6176,       5239,       5348
CD_34E0585_2,     239870,     237314,     192745
CD_27E1076  ,       3840,       2016,       3325
CD_27E1076_2,     119992,     125564,      99475
CD_42E1200  ,       3563,       1889,       3086
CD_42E1200_2,     140764,     153451,     116137
CD_88L2072  ,       3303,       1694,       2861
CD_88L2072_2,     167903,     196474,     138320
CD_61E1143  ,       3313,       1729,       2869
CD_61E1143_2,     135464,     149719,     112048
CD_91E4735  ,       3314,       1705,       2870
CD_91E4735_2,     112774,     120713,      93808
CD_91E4939  ,       3488,       1794,       3020
CD_91E4939_2,     156049,     174826,     128517
CD_91E4939_3,      84570,      87181,      70923
CD_94S2338  ,       3129,       1612,       2710
CD_94S2338_2,     144834,     165796,     119774
CD_90E1011  ,       3757,       1931,       3254
CD_90E1011_2,     145312,     156634,     119654
CD_90E0848  ,       3850,       1985,       3334
CD_90E0848_2,     165865,     181743,     135967
CD_71L1039  ,       3510,       1810,       3039
CD_71L1039_2,     186330,     219620,     152944
CD_41L1000  ,       3062,       1586,       2652
CD_41L1000_2,     176234,     219049,     145556
CD_90E1382  ,       3557,       1816,       3081
CD_90E1382_2,      82809,      85436,      69455
CD_21E1800  ,       3342,       1759,       2894
CD_21E1800_2,      80924,      84212,      67933
CD_90E1021  ,       3723,       1917,       3225
CD_90E1021_2,     144402,     155927,     118941
CD_97E0238  ,       3189,       1665,       2761
CD_97E0238_2,      79026,      82720,      66378
CD_30E1035  ,       2811,       1516,       2435
CD_30E1035_2,      74806,      79638,      62940
CD_30E1070  ,       2776,       1501,       2404
CD_30E1070_2,      98671,     108891,      82395
CD_90E2031  ,       3267,       1652,       2829
CD_90E2031_2,     145195,     163764,     119658
CD_28E0339  ,       2937,       1542,       2544
CD_28E0339_2,     101818,     111260,      84910
CD_28E0065  ,       3240,       1658,       2806
CD_28E0065_2,     144454,     163260,     119095
CD_18E0096  ,       2893,       1549,       2505
CD_18E0096_2,     120644,     136353,     100127
CD_30E1713  ,       2493,       1383,       2159
CD_30E1713_2,      70806,      76621,      59670
CD_02E4914  ,       3166,       1597,       2742
CD_02E4914_2,     141712,     160707,     116907
CD_02E4792  ,       3113,       1568,       2696
CD_02E4792_2,     105117,     113659,      87536
CD_71E1021  ,       2840,       1463,       2459
CD_71E1021_2,      56529,      58839,      47862
CD_90E2616  ,       2928,       1479,       2536
CD_90E2616_2,      57390,      59484,      48576
CD_90E3019  ,       2783,       1400,       2410
CD_90E3019_2,      74757,      79453,      62892
CD_90E3475  ,       2627,       1314,       2275
CD_90E3475_2,      96411,     107076,      80589
CD_90E3942  ,       2430,       1221,       2104
CD_90E3942_2,     133495,     166133,     110902
CD_90E4120  ,       2371,       1190,       2053
CD_90E4120_2,      90747,     102466,      76025
CD_02E3554  ,       2654,       1323,       2298
CD_02E3554_2,     123849,     144746,     102751
CD_02E3976  ,       2791,       1396,       2417
CD_02E3976_2,      98621,     108445,      82317
CD_02E4181  ,       2863,       1435,       2480
CD_02E4181_2,      74962,      79430,      63042
CD_02E4345  ,       2924,       1468,       2532
CD_02E4345_2,     101391,     110691,      84545
CD_12L1200  ,       2155,       1101,       1867
CD_12L1200_2,      85442,      97978,      71725
CD_90E4431  ,       2264,       1134,       1960
CD_90E4431_2,      88461,     100633,      74185
CD_02E4262  ,       2873,       1444,       2488
CD_02E4262_2,     100332,     109845,      83694
CD_02E3585  ,       2638,       1321,       2285
CD_02E3585_2,      95301,     105713,      79639
CD_02E3281  ,       2573,       1280,       2228
CD_02E3281_2,      71353,      76619,      60087
CD_83E1122  ,       2536,       1284,       2196
CD_83E1122_2,      93033,     103869,      77811
CD_87L1201  ,       2499,       1275,       2164
CD_87L1201_2,      70415,      75958,      59323
CD_49L1070  ,       2361,       1225,       2045
CD_49L1070_2,      88994,     100516,      74546
CD_02E3869  ,       2726,       1367,       2360
CD_02E3869_2,      97232,     107320,      81198
CD_02E4204  ,       2846,       1431,       2465
CD_02E4204_2,     118978,     134538,      98756
CD_90E4832  ,       2167,       1083,       1877
CD_90E4832_2,      86311,      98886,      72452
CD_57E0980  ,       2085,       1040,       1805
CD_57E0980_2,      30831,      31904,      26366
CD_04L1127  ,       1861,        989,       1612
CD_04L1127_2,      77286,      90694,      65068
CD_32E1043  ,       2439,       1230,       2112
CD_32E1043_2,     107802,     125338,      89905
CD_32E1597  ,       2144,       1113,       1857
CD_32E1597_2,     105559,     128088,      88193
CD_32E1726  ,       2084,       1088,       1805
CD_32E1726_2,      51081,      54848,      43349
CD_61E2134  ,       2275,       1124,       1970
CD_61E2134_2,      86908,      98584,      72842
CD_93E0066  ,       2324,       1157,       2012
CD_93E0066_2,      88081,      99615,      73795
CD_61E2872  ,       2457,       1219,       2128
CD_61E2872_2,      91228,     102287,      76345
CD_02E3107  ,       2522,       1254,       2184
CD_02E3107_2,      70683,      76089,      59537
CD_15E0937  ,       2451,       1241,       2123
CD_15E0937_2,      69763,      75418,      58786
CD_50E1041  ,       2568,       1286,       2224
CD_50E1041_2,      93765,     104446,      78399
CD_99E0315  ,       1928,        987,       1670
CD_99E0315_2,     115525,     152627,      96661
CD_99E0258  ,       2001,       1014,       1733
CD_99E0258_2,      50715,      54620,      43049
CD_90E5064  ,       2102,       1050,       1820
CD_90E5064_2,      97563,     116444,      81723
CD_98L1178  ,       2048,       1086,       1773
CD_98L1178_2,     109572,     137247,      91506
CD_32E1991  ,       1964,       1039,       1701
CD_32E1991_2,      63338,      70580,      53530
CD_61E1841  ,       2206,       1088,       1910
CD_61E1841_2,      66179,      72472,      55836
CD_80L2099  ,       2155,       1072,       1866
CD_80L2099_2,     105043,     126855,      87673
CD_64E1626  ,       2160,       1082,       1871
CD_64E1626_2,      84057,      96134,      70528
CD_92E1301  ,       2230,       1135,       1931
CD_92E1301_2,      66570,      72866,      56163
CD_92E1343  ,       2197,       1123,       1903
CD_92E1343_2,      98573,     116259,      82383
CD_89L2325  ,       1842,        988,       1595
CD_89L2325_2,      75651,      88724,      63679
CD_64E2403  ,       1781,        964,       1543
CD_64E2403_2,      29004,      30485,      24818
CD_60E0367  ,       2291,       1165,       1984
CD_60E0367_2,      52220,      55515,      44282
CD_40E1169  ,       1996,       1032,       1729
CD_40E1169_2,      79816,      92432,      67077
CD_64E0305  ,       2124,       1079,       1839
CD_64E0305_2,      64944,      71537,      54825
CD_64E0575  ,       1977,       1025,       1712
CD_64E0575_2,      91078,     109168,      76315
CD_99E0272  ,       1986,       1009,       1720
CD_99E0272_2,      81334,      94491,      68395
CD_99E0295  ,       1979,       1006,       1714
CD_99E0295_2,     111276,     142721,      93089
CD_99E0310  ,       1981,       1007,       1716
CD_99E0310_2,     107270,     135535,      89770
CD_51L3125  ,       1920,       1022,       1662
CD_51L3125_2,      62561,      69944,      52890
CD_96E1208  ,       1739,        949,       1506
CD_96E1208_2,      59239,      67170,      50147
CD_96E0877  ,       1792,        971,       1552
CD_96E0877_2,      60239,      68013,      50973
CD_24E1155  ,       2164,       1111,       1874
CD_24E1155_2,      84129,      96253,      70590
CD_28E2347  ,       1739,        943,       1506
CD_28E2347_2,      47419,      52028,      40303
CD_33E1707  ,       1692,        930,       1465
CD_33E1707_2,      72143,      85846,      60842
CD_91L2332  ,       1711,        929,       1482
CD_91L2332_2,      29112,      30655,      24914
CD_91L2703  ,       1599,        880,       1385
CD_91L2703_2,      69581,      83514,      58747
CD_46E1040  ,       1866,        998,       1616
CD_46E1040_2,      61674,      69221,      52159
CD_65L1133  ,       1698,        932,       1470
CD_65L1133_2,      72309,      86008,      60979
CD_22E2801  ,       1809,        937,       1567
CD_22E2801_2,      74642,      87681,      62843
CD_22E2658  ,       1869,        960,       1619
CD_22E2658_2,      87195,     105340,      73152
CD_22E3027  ,       1718,        903,       1488
CD_22E3027_2,      81696,      99911,      68669
CD_22E2299  ,       2036,       1020,       1763
CD_22E2299_2,      80864,      93302,      67927
CD_19L2076  ,       1935,        984,       1676
CD_19L2076_2,      78151,      90879,      65713
CD_22E2153  ,       2091,       1042,       1811
CD_22E2153_2,      82262,      94521,      69064
CD_35E2158  ,       2092,       1044,       1812
CD_35E2158_2,      82312,      94581,      69106
CD_36L1030  ,       1576,        875,       1365
CD_36L1030_2,      56118,      64509,      47565
CD_17L1115  ,       1556,        868,       1348
CD_17L1115_2,      55670,      64112,      47193
CD_91L2615  ,       1621,        890,       1403
CD_91L2615_2,      70206,      84097,      59260
CD_91L2659  ,       1611,        885,       1395
CD_91L2659_2,      78588,      97416,      66205
CD_91L2753  ,       1572,        868,       1362
CD_91L2753_2,      77111,      95907,      64994
CD_61E1262  ,       2076,       1022,       1797
CD_61E1262_2,      82065,      94394,      68910
CD_61E1433  ,       2113,       1041,       1830
CD_61E1433_2,      82961,      95165,      69637
CD_61E1592  ,       2149,       1059,       1861
CD_61E1592_2,      97065,     114810,      81164
CD_92L1125  ,       2006,       1009,       1737
CD_92L1125_2,      92121,     110139,      77160
CD_55E0739  ,       1533,        831,       1328
CD_55E0739_2,      54390,      62648,      46107
CD_34L0960  ,       1720,        904,       1490
CD_34L0960_2,      46333,      50876,      39381
CD_55L0247  ,       1698,        895,       1470
CD_55L0247_2,      71466,      84747,      60240
CD_51L0239  ,       1840,        951,       1594
CD_51L0239_2,      75478,      88435,      63526
CD_94L1247  ,       1863,        958,       1614
CD_94L1247_2,      93284,     115076,      78155
CD_94L1083  ,       1936,        984,       1677
CD_94L1083_2,      89618,     107708,      75125
CD_84L1083  ,       1829,        950,       1584
CD_84L1083_2,      60060,      67512,      50799
CD_36E2960  ,       2033,       1028,       1761
CD_36E2960_2,      80665,      93100,      67761
CD_40L0971  ,       1920,        991,       1663
CD_40L0971_2,      77562,      90305,      65226
CD_61E0386  ,       1870,        924,       1619
CD_61E0386_2,      87860,     106272,      73734
CD_61E0609  ,       1913,        946,       1657
CD_61E0609_2,      95734,     117798,      80180
CD_88E1200  ,       1835,        914,       1589
CD_88E1200_2,      75920,      89010,      63909
CD_30L1090  ,       1721,        892,       1490
CD_30L1090_2,      81918,     100182,      68858
CD_50L1124  ,       1679,        877,       1454
CD_50L1124_2,      80339,      98602,      67568
CD_32L1118  ,       1845,        938,       1598
CD_32L1118_2,      75803,      88782,      63798
CD_23E1193  ,       1632,        859,       1413
CD_23E1193_2,      78561,      96800,      66113
CD_23E1231  ,       1619,        854,       1402
CD_23E1231_2,      69231,      82669,      58408
CD_52E2040  ,       2013,        997,       1743
CD_52E2040_2,      80441,      92964,      67587
CD_26E2714  ,       1546,        825,       1339
CD_26E2714_2,      67019,      80563,      56589
CD_61E1445  ,       2111,       1041,       1828
CD_61E1445_2,      82902,      95113,      69589
CD_35L1084  ,       1697,        895,       1469
CD_35L1084_2,      80900,      99116,      68020
CD_51L0211  ,       1850,        955,       1602
CD_51L0211_2,      75754,      88686,      63752
CD_94L1084  ,       1986,       1007,       1720
CD_94L1084_2,      79543,      92142,      66850
CD_55E1808  ,       1800,        909,       1559
CD_55E1808_2,      47505,      51818,      40358
CD_61E1084  ,       2026,        998,       1754
CD_61E1084_2,     123410,     162609,     102866
CD_93E0675  ,       1906,        944,       1651
CD_93E0675_2,      89021,     107331,      74669
CD_93E0565  ,       1855,        927,       1607
CD_93E0565_2,      76403,      89421,      64301
CD_98E1580  ,       1689,        863,       1463
CD_98E1580_2,      80917,      99258,      68052
CD_98E1318  ,       1785,        898,       1546
CD_98E1318_2,      96978,     123450,      81262
CD_36L1310  ,       1561,        816,       1352
CD_36L1310_2,      80729,     102068,      67935
CD_93E0896  ,       1871,        932,       1621
CD_93E0896_2,      76864,      89841,      64678
CD_55E1989  ,       1752,        892,       1517
CD_55E1989_2,      73432,      86695,      61868
CD_83L1034  ,       1464,        779,       1268
CD_83L1034_2,      64602,      78257,      54601
CD_36L1428  ,       1591,        827,       1377
CD_36L1428_2,      68524,      82033,      57833
CD_06E1605  ,       1679,        865,       1454
CD_06E1605_2,      85764,     107393,      72049
CD_36L1488  ,       1609,        834,       1393
CD_36L1488_2,      69081,      82564,      58290
CD_50E0188  ,       1518,        800,       1315
CD_50E0188_2,      66311,      79919,      56011
CD_87E0416  ,       1577,        822,       1365
CD_87E0416_2,      68117,      81654,      57498
CD_98E1042  ,       1882,        932,       1630
CD_98E1042_2,      88183,     106532,      73990
CD_32E3228  ,       1537,        807,       1331
CD_32E3228_2,      66908,      80497,      56503
CD_78L0804  ,       1421,        766,       1231
CD_78L0804_2,      63130,      76784,      53384
PA_D_AGF01I2,       7182,       7024,       6219
PA_D_AG3    ,       7147,       6941,       6189
PA_D_AG1    ,       7034,       6682,       6092
COMT_AGF01I2,       7210,       7092,       6244
DMUM_SG92E2724,       7001,       6608,       6063
PA_D_FH94E0506,       6546,       5688,       5669
PA_D_F34E0487,       6512,       5625,       5639
PA_D_SF34E0409,       6376,       5383,       5522
BVIRT_FH94E0506,       6542,       5683,       5666
PA_D_H94E0383,       6776,       6136,       5868
PA_D_G92E2831,       6799,       6183,       5888
PA_E_-2691602,       6978,       6562,       6043
BVIRT_SG92E2724,       6996,       6603,       6059
DMUM_SF34E0409,       6372,       5379,       5518
PA_E_-2523928,       6357,       5336,       5505
PA_E_-2523938,       6220,       4973,       5387
PA_E_-2523946,       6105,       4693,       5287
PA_E_-2523948,       6084,       4646,       5269
PA_E_-2523962,       6002,       4463,       5198
PA_E_-2523964,       5986,       4429,       5184
PA_E_-2523970,       5906,       4263,       5115
PA_E_-2523974,       5840,       4132,       5057
PA_E_-2524106,       5816,       4087,       5037
PA_D_F35E2570,       5597,       3697,       4847
PA_D_F53E2704,       5503,       3545,       4765
PA_E_-11528486,       5288,       3228,       4580
PA_D_F35E3265,       5076,       2949,       4396
PA_E_-3130024,       4877,       2714,       4224
PA_E_-3130025,       4855,       2689,       4205
PA_D_U91E4653,       4672,       2493,       4046
PA_D_U91E4719,       4644,       2465,       4022
PA_E_-3130105,       4529,       2393,       3922
PA_E_-3130118,       4351,       2283,       3768
PA_D_FU91S5343,       4165,       2170,       3607
BVIRT_SU91E5628,       4043,       2096,       3501
BVIRT_FU91S5343,       4164,       2169,       3606
PA_D_FF34E0585,       6251,       5326,       5413
DMUM_FH94E0506,       6536,       5679,       5660
BVIRT_FF34E0585,       6247,       5322,       5410
PA_EL_1196718,       6126,       5179,       5305
PA_D_U91E5215,       3708,       1911,       3211
PA_D_FU91E5131,       3644,       1876,       3155
PA_E_-1563608,       3772,       1946,       3267
DMUM_FU91E5131,       3642,       1875,       3154
PA_E_-1563614,       3868,       1999,       3350
DMUM_SU91E5061,       3583,       1842,       3103
PA_D_FJ42E1040,       3937,       2037,       3409
DMUM_FJ42E1040,       3813,       1988,       3302
PA_D_D_SU91E5547,       4009,       2077,       3472
PA_D_SU91E5547,       4026,       2087,       3486
PA_D_U91E5614,       3979,       2059,       3446
PA_D_SU91E5628,       4041,       2096,       3500
DMUM_SU91E5628,       4042,       2096,       3500
DMUM_FK27E0971,       4025,       2089,       3485
PA_D_RG_U91E5671,       3942,       2037,       3414
PA_D_4U91E5732,       3935,       2033,       3408
BVIRT_6U91E5732,       3932,       2032,       3405
BVIRT_4U91E5732,       3934,       2032,       3407
BAR_1       ,       3942,       2037,       3414
BAR_2       ,       3941,       2037,       3413
PA_E_-10968873,       4142,       2161,       3587
PA_D_T80E0970,       4082,       2137,       3535
PA_E_-10968879,       4023,       2113,       3484
DMUM_FU91S5343,       4161,       2168,       3603
DMUM_FF34E0585,       6241,       5318,       5405
BVIRT_FU91E5131,       3640,       1874,       3152
CUMT_BCU91E5131,       3638,       1874,       3151
DMUM_4U91E5732,       3932,       2032,       3405
BVIRT_SU91E5732,       3931,       2031,       3404
PA_D_FU91E4939,       3508,       1802,       3038
BVIRT_FU91E4939,       3505,       1801,       3035
PA_E_-1554294,       3454,       1773,       2991
PA_D_FU91E4961,       3524,       1811,       3052
PA_E_-1554287,       3384,       1735,       2931
PA_D_FU91E5016,       3549,       1824,       3073
PA_D_FU91E4765,       3364,       1724,       2913
DMUM_FU91E5016,       3546,       1823,       3071
BVIRT_SU91E5061,       3581,       1842,       3101
BVIRT_FU91E4765,       3362,       1723,       2912
PA_D_FU91E4687,       3325,       1703,       2880
DMUM_FH94S2125,       3310,       1695,       2867
BVIRT_FK27E0971,       4022,       2088,       3483
PA_EL_1227709,       3502,       1864,       3033
BVIRT_FJ42E1040,       3811,       1988,       3300
DMUM_SU91E5732,       3929,       2031,       3403
BVIRT_5U91E5732,       3928,       2030,       3402
PA_D_A88L2085,       3318,       1699,       2873
DMUM_FU91E4687,       3323,       1702,       2878
DMUM_FU91E4961,       3522,       1810,       3050
DMUM_FU91E4765,       3360,       1723,       2910
DMUM_FU91E4939,       3503,       1800,       3033
PA_D_G71L1023,       3538,       1821,       3064
BVIRT_FG71L1039,       3516,       1812,       3045
BVIRT_FU91E5016,       3544,       1823,       3069
PA_D_FY41L1000,       3221,       1647,       2789
PA_D_O53E0737,       3209,       1642,       2779
BVIRT_FH94S2125,       3308,       1694,       2865
PA_D_O53E0661,       3123,       1609,       2705
BVIRT_FY41L1000,       3078,       1592,       2666
PA_D_F90E1070,       3725,       1912,       3226
PA_D_FT21E2000,       3699,       1897,       3203
BVIRT_SF90E1336,       3583,       1830,       3103
DMUM_FT21E2000,       3627,       1869,       3141
PA_D_FF90E1021,       3752,       1928,       3249
BVIRT_FF90E1021,       3750,       1927,       3248
PA_D_F90E0912,       3814,       1964,       3303
PA_D_FF94E0021,       3826,       1971,       3313
PA_D_F90E0804,       3875,       1999,       3356
PA_D_U91E5743,       3910,       2020,       3386
PA_D_5U91E5732,       3926,       2029,       3400
PA_D_F52E3309,       3904,       2018,       3381
DMUM_6U91E5732,       3923,       2028,       3397
DMUM_5U91E5732,       3927,       2030,       3401
DMUM_SF52E3309,       3877,       2007,       3357
DMUM_FG71L1039,       3514,       1811,       3043
DMUM_FY41L1000,       3077,       1591,       2665
PA_D_SF52E3280,       3839,       1989,       3324
DMUM_SF52E3280,       3835,       1988,       3321
BVIRT_SF52E3309,       3874,       2006,       3355
DMUM_6F52E3280,       3835,       1988,       3321
PA_D_FF97E0022,       3503,       1785,       3033
DMUM_FF97E0022,       3466,       1771,       3002
DMUM_SF90E1636,       3440,       1749,       2979
DMUM_SF90E1336,       3581,       1830,       3102
BVIRT_FT21E2000,       3624,       1869,       3139
PA_EL_1227798,       3294,       1740,       2853
DMUM_FF90E1021,       3748,       1926,       3245
PA_D_FF90E1843,       3347,       1697,       2898
DMUM_FF90E1843,       3345,       1696,       2897
BVIRT_SF90E1636,       3438,       1749,       2978
DMUM_SF90E1890,       3329,       1687,       2883
BVIRT_FF97E0022,       3464,       1771,       3000
PA_D_F97E0376,       3031,       1604,       2625
PA_D_FN18E0003,       2991,       1588,       2590
DMUM_FN18E0003,       2990,       1587,       2589
PA_D_W30E1001,       2871,       1540,       2486
PA_D_W29E1196,       2845,       1529,       2464
PA_D_TW30E1070,       2780,       1503,       2407
BVIRT_FK30E1753,       2525,       1397,       2187
PA_D_SF90E1910,       3318,       1681,       2874
PA_E_-2474992,       3304,       1673,       2861
BVIRT_SF90E1890,       3328,       1687,       2882
PA_D_RF90E2085,       3247,       1641,       2812
BVIRT_RF90E2085,       3246,       1640,       2811
PA_E_-558710,       3051,       1586,       2642
PA_E_-558716,       3009,       1570,       2605
PA_E_-558708,       3091,       1602,       2677
PA_E_-558718,       2971,       1556,       2573
PA_E_-558706,       3139,       1620,       2718
PA_E_-558704,       3170,       1631,       2745
PA_E_-558696,       3212,       1647,       2782
PA_D_N28E0001A,       3327,       1690,       2882
BVIRT_FF90E1843,       3343,       1696,       2895
BVIRT_FN18E0003,       2988,       1587,       2588
PA_E_-3093927,       2985,       1585,       2585
DMUM_FK30E1753,       2524,       1396,       2186
PA_D_6F90E2085,       3243,       1639,       2808
DMUM_6F90E2085,       3242,       1639,       2807
BVIRT_SF90E2130,       3236,       1635,       2802
DMUM_RF90E2085,       3245,       1640,       2810
BVIRT_D_RF90E2085,       3245,       1641,       2810
BVIRT_6F90E2085,       3244,       1640,       2809
PA_D_SF90E2165,       3228,       1631,       2795
DMUM_SF90E2130,       3235,       1635,       2801
DMUM_SF90E2165,       3224,       1629,       2792
PA_D_FI02E4712,       3078,       1550,       2666
DMUM_FI02E4712,       3077,       1549,       2665
PA_D_RG_I02E4519,       3001,       1508,       2599
PA_D_4I02E4429,       2964,       1488,       2567
BVIRT_6I02E4429,       2963,       1487,       2566
BVIRT_4I02E4429,       2963,       1488,       2566
BAR_3       ,       3000,       1508,       2598
BAR_4       ,       3000,       1507,       2598
BVIRT_SF90E2165,       3223,       1629,       2791
PA_E_-2475035,       3203,       1618,       2774
PA_E_-2475039,       3160,       1596,       2737
PA_E_-2475041,       3137,       1583,       2716
PA_E_-2475043,       3114,       1571,       2697
PA_D_F90E2345,       3099,       1563,       2684
PA_E_-2475047,       3088,       1557,       2674
PA_E_-2475049,       3072,       1549,       2660
DMUM_SF90E2418,       3062,       1543,       2652
DMUM_4I02E4429,       2962,       1487,       2565
BVIRT_RI02E4429,       2961,       1487,       2564
BVIRT_FI02E4712,       3075,       1549,       2663
PA_D_T71E0826,       3033,       1533,       2626
PA_E_-3234290,       2917,       1467,       2526
PA_E_-3234289,       2886,       1451,       2499
PA_D_TF90E2616,       2965,       1492,       2568
PA_E_-3234286,       2846,       1430,       2465
BVIRT_SF90E2418,       3060,       1543,       2650
PA_D_TF90E3019,       2807,       1409,       2431
PA_E_-3227863,       2781,       1396,       2409
PA_E_-3218561,       2647,       1325,       2293
PA_EL_2847564,       2615,       1309,       2265
PA_D_381    ,       2587,       1298,       2241
PA_D_F90E3582,       2559,       1287,       2216
BVIRT_SF90E3628,       2544,       1279,       2203
DMUM_RI02E4429,       2960,       1486,       2563
DMUM_5I02E4429,       2959,       1486,       2563
DMUM_SF90E3628,       2543,       1279,       2202
PA_D_FF90E3763,       2493,       1252,       2159
PA_D_SJ32E1001,       2481,       1246,       2149
DMUM_SJ32E1001,       2477,       1244,       2145
PA_D_SF90E3942,       2437,       1223,       2110
BVIRT_SF90E3942,       2436,       1223,       2110
PA_D_FF90E4120,       2381,       1193,       2062
DMUM_SF90E4254,       2337,       1171,       2024
DMUM_FF90E4120,       2380,       1193,       2061
PA_D_5I02E4429,       2957,       1485,       2561
DMUM_6I02E4429,       2956,       1485,       2560
BVIRT_SI02E4385,       2941,       1476,       2547
BVIRT_5I02E4429,       2958,       1486,       2562
DMUM_FF90E3763,       2492,       1252,       2158
CUMT_BCF90E3763,       2491,       1252,       2157
DMUM_SF90E3942,       2435,       1222,       2109
BVIRT_SF90E4254,       2336,       1170,       2023
PA_D_FF90E4362,       2307,       1155,       1998
BVIRT_FF90E4362,       2306,       1155,       1997
PA_D_F90E4435,       2282,       1142,       1976
PA_D_FF90E4431,       2269,       1135,       1965
PA_D_F90E4460,       2261,       1131,       1958
DMUM_FF90E4431,       2268,       1135,       1965
BVIRT_SF90E4501,       2249,       1125,       1948
BVIRT_SJ32E1001,       2476,       1244,       2144
BVIRT_D_RJ32E1022,       2461,       1238,       2131
BVIRT_FF90E4120,       2379,       1193,       2060
BVIRT_SI02E3446,       2626,       1308,       2274
PA_D_FI02E3585,       2665,       1329,       2308
