hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -985.012, -466.329, -985.012, -466.329, -985.012, -466.329
2, 0.00000, -985.11, -466.377, -985.11, -466.377, -985.11, -466.377
3, 0.00000, -985.111, -466.377, -985.111, -466.377, -985.111, -466.377
4, 0.00000, -985.111, -466.377, -985.111, -466.377, -985.111, -466.377
5, 0.00000, -985.111, -466.377, -985.111, -466.377, -985.111, -466.377
6, 0.00000, -985.111, -466.377, -985.111, -466.377, -985.111, -466.377
7, 0.00000, -992.513, -470.054, -992.513, -470.054, -992.513, -470.054
8, 0.00000, 438.653, -449.719, 438.653, -449.719, 438.653, -449.719
9, 0.00000, 1099.47, -480.095, 1099.47, -480.095, 1099.47, -480.095
10, 0.00000, 1538.37, -514.205, 1538.37, -514.205, 1538.37, -514.205
11, 0.00000, 1807.45, -540.379, 1807.45, -540.379, 1807.45, -540.379
12, 0.00000, 1857.88, -546.097, 1857.88, -546.097, 1857.88, -546.097
13, 0.00000, 1688.61, -552.506, 1688.61, -552.506, 1688.61, -552.506
14, 0.00000, 1822.77, -566.036, 1822.77, -566.036, 1822.77, -566.036
15, 0.00000, 1678.49, -551.499, 1678.49, -551.499, 1678.49, -551.499
16, 0.00000, 1816.05, -565.312, 1816.05, -565.312, 1816.05, -565.312
17, 0.00000, 663.412, -481.059, 663.412, -481.059, 663.412, -481.059
18, 0.00000, -1049.47, -497.414, -1049.47, -497.414, -1049.47, -497.414
19, 0.00000, -1305.23, -622.62, -1305.23, -622.62, -1305.23, -622.62
20, 0.00000, -1305.26, -622.634, -1305.26, -622.634, -1305.26, -622.634
21, 0.00000, -1305.26, -622.635, -1305.26, -622.635, -1305.26, -622.635
22, 0.00000, -1305.26, -622.635, -1305.26, -622.635, -1305.26, -622.635
23, 0.00000, -1305.26, -622.635, -1305.26, -622.635, -1305.26, -622.635
24, 0.00000, -1305.26, -622.635, -1305.26, -622.635, -1305.26, -622.635
