hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 4.61419, 2.51773, 4.61574, 2.51791, 4.6152, 2.51736, 0, 0
2, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
3, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
4, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
5, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
6, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
7, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
8, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
9, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
10, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
11, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
12, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
13, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
14, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
15, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
16, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
17, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
18, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
19, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
20, 0.00000, 4.61421, 2.51774, 4.61576, 2.51792, 4.61522, 2.51737, 0, 0
