hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.320781, 0.767209, 0.320968, 0.767559, 0.320832, 0.767334, 0, 0
2, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
3, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
4, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
5, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
6, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
7, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
8, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
9, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
10, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
11, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
12, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
13, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
14, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
15, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
16, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
17, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
18, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
19, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
20, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
21, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
22, 0.00000, 0.320781, 0.767209, 0.320969, 0.767559, 0.320833, 0.767335, 0, 0
23, 0.00000, 0.320841, 0.767593, 0.321023, 0.76793, 0.320891, 0.76771, 0, 0
24, 0.00000, 0.320961, 0.768412, 0.321133, 0.768719, 0.321008, 0.76851, 0, 0
25, 0.00000, 0.328927, 0.773618, 0.329079, 0.773871, 0.328969, 0.773684, 0, 0
