hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
2, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
3, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
4, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
5, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
6, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
7, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
8, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
9, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
10, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
11, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
12, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
13, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
14, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
15, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
16, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
17, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
18, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
19, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
20, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
21, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
22, 0.00000, 10.1833, 4.12505, 10.187, 4.12545, 10.1861, 4.12425, 0, 0
23, 0.00000, 8.49045, 3.56776, 8.49346, 3.568, 8.49285, 3.5671, 0, 0
24, 0.00000, 6.8015, 2.75644, 6.80372, 2.7564, 6.80344, 2.75586, 0, 0
25, 0.00000, 5.11809, 1.94068, 5.11947, 1.94045, 5.11947, 1.94023, 0, 0
26, 0.00000, 5.1182, 1.93824, 5.1195, 1.93803, 5.11951, 1.93782, 0, 0
27, 0.00000, 5.11853, 1.93113, 5.11959, 1.93098, 5.11962, 1.93079, 0, 0
28, 0.00000, 5.11862, 1.92934, 5.11962, 1.92921, 5.11965, 1.92902, 0, 0
29, 0.00000, 5.11866, 1.92836, 5.11962, 1.92824, 5.11966, 1.92805, 0, 0
30, 0.00000, 5.11871, 1.92746, 5.11964, 1.92735, 5.11967, 1.92717, 0, 0
31, 0.00000, 5.11873, 1.92703, 5.11964, 1.92692, 5.11968, 1.92674, 0, 0
32, 0.00000, 5.11877, 1.92615, 5.11966, 1.92605, 5.11969, 1.92587, 0, 0
33, 0.00000, 5.11874, 1.92647, 5.11964, 1.92637, 5.11968, 1.92619, 0, 0
34, 0.00000, 5.11877, 1.92615, 5.11966, 1.92605, 5.1197, 1.92587, 0, 0
35, 0.00000, 5.11868, 1.92779, 5.11962, 1.92769, 5.11966, 1.9275, 0, 0
36, 0.00000, 5.11871, 1.9274, 5.11964, 1.9273, 5.11968, 1.92711, 0, 0
37, 0.00000, 5.11876, 1.92614, 5.11965, 1.92604, 5.11968, 1.92586, 0, 0
38, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
39, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
40, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
41, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
42, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
43, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
44, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
45, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
46, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
47, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
48, 0.00000, 5.11877, 1.92614, 5.11965, 1.92604, 5.11969, 1.92586, 0, 0
49, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
50, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
51, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
52, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
53, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
54, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
55, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
56, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
57, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
58, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
59, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
60, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
61, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
62, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
63, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
64, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
65, 0.00000, 5.11863, 1.92901, 5.11961, 1.92888, 5.11964, 1.92869, 0, 0
66, 0.00000, 5.11863, 1.92911, 5.11961, 1.92899, 5.11964, 1.9288, 0, 0
67, 0.00000, 5.11856, 1.93025, 5.11959, 1.93012, 5.11962, 1.92993, 0, 0
68, 0.00000, 5.1185, 1.93173, 5.11957, 1.9316, 5.11961, 1.93139, 0, 0
69, 0.00000, 5.11823, 1.93712, 5.11949, 1.93699, 5.11955, 1.93673, 0, 0
70, 0.00000, 8.48432, 2.02744, 8.48707, 2.02725, 8.48681, 2.02656, 0, 0
71, 0.00000, 10.1743, 2.08104, 10.1777, 2.08082, 10.1772, 2.07993, 0, 0
72, 0.00000, 10.1743, 2.08106, 10.1777, 2.08084, 10.1773, 2.07996, 0, 0
73, 0.00000, 10.1736, 2.09926, 10.1781, 2.09867, 10.1774, 2.09769, 0, 0
74, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
75, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
76, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
77, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
78, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
79, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
80, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
81, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
82, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
83, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
84, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
85, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
86, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
87, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
88, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
89, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
90, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
91, 0.00000, 10.1737, 2.09927, 10.1781, 2.09868, 10.1774, 2.0977, 0, 0
