Hora[1] | FP: 0.883973 => 0.926844 | Cap_matlab = 16.171830 | Cap_utilizado = 3.796680 | N_passo=5 
Hora[2] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[3] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[4] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[5] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[6] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[7] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[8] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[9] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[10] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[11] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[12] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[13] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[14] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[15] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[16] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[17] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[18] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[19] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[20] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[21] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[22] | FP: 0.883971 => 0.926844 | Cap_matlab = 16.171950 | Cap_utilizado = 3.796800 | N_passo=5 
Hora[23] | FP: 0.883968 => 0.926856 | Cap_matlab = 16.172580 | Cap_utilizado = 3.798420 | N_passo=5 
Hora[24] | FP: 0.788772 => 0.926689 | Cap_matlab = 15.934980 | Cap_utilizado = 7.659870 | N_passo=10 
Hora[25] | FP: 0.548776 => 0.926748 | Cap_matlab = 15.801900 | Cap_utilizado = 11.618490 | N_passo=15 
Hora[26] | FP: 0.321501 => 0.949416 | Cap_matlab = 15.771510 | Cap_utilizado = 14.018724 | N_passo=18 
Hora[27] | FP: 0.022164 => 0.958559 | Cap_matlab = 15.768030 | Cap_utilizado = 15.680464 | N_passo=20 
Hora[28] | FP: 0.022184 => 0.978223 | Cap_matlab = 15.771090 | Cap_utilizado = 15.708444 | N_passo=20 
Hora[29] | FP: 0.022215 => 0.996425 | Cap_matlab = 15.776100 | Cap_utilizado = 15.750987 | N_passo=20 
Hora[30] | FP: 0.022231 => 0.999436 | Cap_matlab = 15.778320 | Cap_utilizado = 15.768352 | N_passo=20 
Hora[31] | FP: 0.022236 => 0.999699 | Cap_matlab = 15.778740 | Cap_utilizado = 15.771462 | N_passo=20 
Hora[32] | FP: 0.022246 => 0.999996 | Cap_matlab = 15.779790 | Cap_utilizado = 15.780589 | N_passo=20 
Hora[33] | FP: 0.022241 => 0.999907 | Cap_matlab = 15.779160 | Cap_utilizado = 15.775109 | N_passo=20 
Hora[34] | FP: 0.022253 => 0.998947 | Cap_matlab = 15.781050 | Cap_utilizado = 15.794697 | N_passo=20 
Hora[35] | FP: 0.022230 => 0.998673 | Cap_matlab = 15.777270 | Cap_utilizado = 15.761981 | N_passo=20 
Hora[36] | FP: 0.022231 => 0.999554 | Cap_matlab = 15.778140 | Cap_utilizado = 15.769274 | N_passo=20 
Hora[37] | FP: 0.022258 => 0.997412 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803239 | N_passo=20 
Hora[38] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803259 | N_passo=20 
Hora[39] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[40] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[41] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[42] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[43] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[44] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[45] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[46] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[47] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[48] | FP: 0.022257 => 0.997407 | Cap_matlab = 15.781800 | Cap_utilizado = 15.803260 | N_passo=20 
Hora[49] | FP: 0.022238 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787342 | N_passo=20 
Hora[50] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[51] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[52] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[53] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[54] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[55] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[56] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[57] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[58] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[59] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[60] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[61] | FP: 0.022239 => 0.999672 | Cap_matlab = 15.779730 | Cap_utilizado = 15.787343 | N_passo=20 
Hora[62] | FP: 0.022239 => 0.999847 | Cap_matlab = 15.779490 | Cap_utilizado = 15.784693 | N_passo=20 
Hora[63] | FP: 0.022236 => 0.999996 | Cap_matlab = 15.779010 | Cap_utilizado = 15.779834 | N_passo=20 
Hora[64] | FP: 0.022233 => 0.999919 | Cap_matlab = 15.778500 | Cap_utilizado = 15.774728 | N_passo=20 
Hora[65] | FP: 0.022229 => 0.999580 | Cap_matlab = 15.777960 | Cap_utilizado = 15.769360 | N_passo=20 
Hora[66] | FP: 0.022225 => 0.998729 | Cap_matlab = 15.777240 | Cap_utilizado = 15.762279 | N_passo=20 
Hora[67] | FP: 0.022217 => 0.997209 | Cap_matlab = 15.776130 | Cap_utilizado = 15.753945 | N_passo=20 
Hora[68] | FP: 0.022168 => 0.973375 | Cap_matlab = 15.769080 | Cap_utilizado = 15.699584 | N_passo=20 
Hora[69] | FP: 0.022117 => 0.931407 | Cap_matlab = 15.762000 | Cap_utilizado = 15.647110 | N_passo=20 
Hora[70] | FP: 0.883970 => 0.999623 | Cap_matlab = 16.171590 | Cap_utilizado = 15.333594 | N_passo=20 
