Hora[1] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[2] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[3] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[4] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[5] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[6] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[7] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[8] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[9] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[10] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[11] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[12] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[13] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[14] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[15] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[16] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[17] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[18] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[19] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[20] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[21] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[22] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.882 => 0.958 |  FP_GERACAO_1.0: 0.882 => 0.958 
Hora[23] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.876 => 0.959 |  FP_GERACAO_1.0: 0.880 => 0.958 
Hora[24] | FP_SEM_GERACAO: 0.882 => 0.958 |  FP_GERACAO_0.5: 0.858 => 0.962 |  FP_GERACAO_1.0: 0.870 => 0.960 
Hora[25] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.821 => 0.969 |  FP_GERACAO_1.0: 0.823 => 0.966 
Hora[26] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.803 => 0.972 |  FP_GERACAO_1.0: 0.790 => 0.969 
Hora[27] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.747 => 0.979 |  FP_GERACAO_1.0: 0.659 => 0.975 
Hora[28] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.730 => 0.981 |  FP_GERACAO_1.0: 0.550 => 0.977 
Hora[29] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.722 => 0.982 |  FP_GERACAO_1.0: 0.344 => 0.968 
Hora[30] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.716 => 0.983 |  FP_GERACAO_1.0: 0.230 => 0.939 
Hora[31] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.714 => 0.983 |  FP_GERACAO_1.0: 0.212 => 0.935 
Hora[32] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.186 => 0.934 
Hora[33] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.712 => 0.984 |  FP_GERACAO_1.0: 0.203 => 0.940 
Hora[34] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.157 => 0.941 
Hora[35] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.720 => 0.984 |  FP_GERACAO_1.0: 0.291 => 0.975 
Hora[36] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.717 => 0.984 |  FP_GERACAO_1.0: 0.240 => 0.965 
Hora[37] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[38] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[39] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[40] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[41] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[42] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[43] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[44] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[45] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[46] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[47] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[48] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[49] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[50] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[51] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[52] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[53] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[54] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[55] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[56] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[57] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[58] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[59] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[60] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[61] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
